=== HAZE Phase 1: baseline + debate (VULNERABLE/SAFE) ===
Output: results/raw_phase1.jsonl
Conditions: baseline,debate | repeats: 3 | rounds: 1
Dataset: 20 artifacts | conditions: baseline, debate | repeats: 3 | rounds: 1
Total tasks: 120 | concurrency: 4
[58/120] CVE-2026-44262__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[59/120] CVE-2026-44262__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[60/120] CVE-2026-42945__patched | debate r1 -> SAFE (pred=0, label=0)
[61/120] CVE-2026-44262__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[62/120] CVE-2026-42945__patched | debate r2 -> SAFE (pred=0, label=0)
[63/120] CVE-2026-42945__patched | debate r3 -> SAFE (pred=0, label=0)
[64/120] CVE-2026-44262__patched | baseline r1 -> VULNERABLE (pred=1, label=0)
[65/120] CVE-2026-44262__vulnerable | debate r1 -> VULNERABLE (pred=1, label=1)
[66/120] CVE-2026-44262__patched | baseline r2 -> VULNERABLE (pred=1, label=0)
[67/120] CVE-2026-44262__patched | baseline r3 -> VULNERABLE (pred=1, label=0)
[68/120] CVE-2026-44262__vulnerable | debate r2 -> VULNERABLE (pred=1, label=1)
[69/120] CVE-2026-44262__vulnerable | debate r3 -> VULNERABLE (pred=1, label=1)
[70/120] CVE-2026-44815__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[71/120] CVE-2026-44815__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[72/120] CVE-2026-44815__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[73/120] CVE-2026-44262__patched | debate r3 -> SAFE (pred=0, label=0)
[74/120] CVE-2026-44262__patched | debate r1 -> SAFE (pred=0, label=0)
[75/120] CVE-2026-44262__patched | debate r2 -> SAFE (pred=0, label=0)
[76/120] CVE-2026-44815__patched | baseline r1 -> VULNERABLE (pred=1, label=0)
[77/120] CVE-2026-44815__patched | baseline r2 -> VULNERABLE (pred=1, label=0)
[78/120] CVE-2026-44815__patched | baseline r3 -> VULNERABLE (pred=1, label=0)
[79/120] CVE-2026-44815__vulnerable | debate r1 -> VULNERABLE (pred=1, label=1)
[80/120] CVE-2026-44815__vulnerable | debate r2 -> VULNERABLE (pred=1, label=1)
[81/120] CVE-2026-44815__vulnerable | debate r3 -> VULNERABLE (pred=1, label=1)
[82/120] CVE-2026-50751__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[83/120] CVE-2026-50751__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[84/120] CVE-2026-50751__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[85/120] CVE-2026-44815__patched | debate r1 -> SAFE (pred=0, label=0)
[86/120] CVE-2026-44815__patched | debate r2 -> SAFE (pred=0, label=0)
[87/120] CVE-2026-44815__patched | debate r3 -> VULNERABLE (pred=1, label=0)
[88/120] CVE-2026-50751__patched | baseline r1 -> SAFE (pred=0, label=0)
[89/120] CVE-2026-50751__patched | baseline r2 -> SAFE (pred=0, label=0)
[90/120] CVE-2026-50751__patched | baseline r3 -> SAFE (pred=0, label=0)
[91/120] CVE-2026-50751__vulnerable | debate r3 -> VULNERABLE (pred=1, label=1)
[92/120] CVE-2026-50751__vulnerable | debate r1 -> VULNERABLE (pred=1, label=1)
[93/120] CVE-2026-50751__vulnerable | debate r2 -> VULNERABLE (pred=1, label=1)
[94/120] CVE-2026-5076__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[95/120] CVE-2026-5076__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[96/120] CVE-2026-5076__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[97/120] CVE-2026-50751__patched | debate r1 -> SAFE (pred=0, label=0)
[98/120] CVE-2026-50751__patched | debate r2 -> SAFE (pred=0, label=0)
[99/120] CVE-2026-50751__patched | debate r3 -> SAFE (pred=0, label=0)
[100/120] CVE-2026-5076__patched | baseline r1 -> VULNERABLE (pred=1, label=0)
[101/120] CVE-2026-5076__patched | baseline r2 -> VULNERABLE (pred=1, label=0)
[102/120] CVE-2026-5076__patched | baseline r3 -> VULNERABLE (pred=1, label=0)
[103/120] CVE-2026-5076__vulnerable | debate r1 -> VULNERABLE (pred=1, label=1)
[104/120] CVE-2026-5076__vulnerable | debate r2 -> VULNERABLE (pred=1, label=1)
[105/120] CVE-2026-5076__vulnerable | debate r3 -> VULNERABLE (pred=1, label=1)
[106/120] CVE-2026-53435__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[107/120] CVE-2026-53435__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[108/120] CVE-2026-53435__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[109/120] CVE-2026-5076__patched | debate r2 -> SAFE (pred=0, label=0)
[110/120] CVE-2026-5076__patched | debate r1 -> VULNERABLE (pred=1, label=0)
[111/120] CVE-2026-5076__patched | debate r3 -> VULNERABLE (pred=1, label=0)
[112/120] CVE-2026-53435__patched | baseline r1 -> VULNERABLE (pred=1, label=0)
[113/120] CVE-2026-53435__patched | baseline r2 -> VULNERABLE (pred=1, label=0)
[114/120] CVE-2026-53435__patched | baseline r3 -> VULNERABLE (pred=1, label=0)
[115/120] CVE-2026-53435__vulnerable | debate r1 -> VULNERABLE (pred=1, label=1)
[116/120] CVE-2026-53435__vulnerable | debate r3 -> VULNERABLE (pred=1, label=1)
[117/120] CVE-2026-53435__vulnerable | debate r2 -> VULNERABLE (pred=1, label=1)
[118/120] CVE-2026-53435__patched | debate r1 -> SAFE (pred=0, label=0)
[119/120] CVE-2026-53435__patched | debate r3 -> SAFE (pred=0, label=0)
[120/120] CVE-2026-53435__patched | debate r2 -> SAFE (pred=0, label=0)
Done in 547.5s. Raw -> /home/axelmc/Documentos/V2 Hackton/V2 Hackaton/evaluation/results/raw_phase1.jsonl
